FSTR_LOOPGROUPID,FDT_TIME,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY,FINT_VH,FSTR_VALIDITY,FINT_LV,FINT_MV,FINT_SV,FINT_LS,FINT_MS,FINT_SS
6.11309E+14,2010/3/1 0:00,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:00,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:00,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:02,1,81,1,2367,valid,0,0,1,0,0,81
6.11309E+14,2010/3/1 0:02,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:02,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:04,1,77,1,1265,valid,0,0,1,0,0,77
6.11309E+14,2010/3/1 0:04,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:04,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:08,1,67,1,2356,valid,0,0,1,0,0,67
6.11309E+14,2010/3/1 0:08,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:08,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:09,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:09,1,102,1,926,valid,0,0,1,0,0,102
6.11309E+14,2010/3/1 0:09,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:10,1,86,1,248,valid,0,0,1,0,0,86
6.11309E+14,2010/3/1 0:10,1,98,1,332,valid,0,0,1,0,0,98
6.11309E+14,2010/3/1 0:10,1,70,1,56,valid,0,0,1,0,0,70
6.11309E+14,2010/3/1 0:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:12,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:12,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:12,1,84,1,1355,valid,0,0,1,0,0,84
6.11309E+14,2010/3/1 0:13,1,64,1,100,valid,0,0,1,0,0,64
6.11309E+14,2010/3/1 0:13,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:13,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:14,0,0,0,0,valid,0,0,0,0,0,0
